atmosphere_air_water~vapor__partial_pressure, atmosphere_air_water~vapor__partial_pressure
atmosphere_air_water~vapor__psychrometric_constant, atmosphere_air_water~vapor__psychrometric_constant
atmosphere_air_water~vapor__relative_saturation, atmosphere_air_water~vapor__relative_saturation
atmosphere_air_water~vapor__saturated_partial_pressure, atmosphere_air~saturated_water~vapor__partial_pressure
atmosphere_air_water~vapor__virtual_potential_temperature, atmosphere_air_water~vapor__virtual_potential_temperature
atmosphere_air_water~vapor__virtual_temperature, atmosphere_air_water~vapor__virtual_temperature
atmosphere_ball__fall_speed, atmosphere_ball_falling__speed
atmosphere_ball__terminal_fall_speed, atmosphere_ball_falling__terminal_speed
atmosphere_bottom_air__brutsaert_emissivity_canopy_factor, atmosphere_bottom_air_canopy__brutsaert_emissivity_factor
atmosphere_bottom_air__brutsaert_emissivity_cloud_factor, atmosphere_bottom_air_cloud__brutsaert_emissivity_factor
atmosphere_bottom_air__bulk_latent_heat_aerodynamic_conductance, atmosphere_bottom_air_bulk__latent_heat_aerodynamic_conductance
atmosphere_bottom_air__bulk_latent_heat_transfer_coefficient, atmosphere_bottom_air_bulk__latent_heat_transfer_coefficient
atmosphere_bottom_air__bulk_momentum_aerodynamic_conductance, atmosphere_bottom_air_bulk__momentum_aerodynamic_conductance
atmosphere_bottom_air__bulk_momentum_transfer_coefficient, atmosphere_bottom_air_bulk__momentum_transfer_coefficient
atmosphere_bottom_air__bulk_sensible_heat_aerodynamic_conductance, atmosphere_bottom_air_bulk__sensible_heat_aerodynamic_conductance
atmosphere_bottom_air__bulk_sensible_heat_transfer_coefficient, atmosphere_bottom_air_bulk__sensible_heat_transfer_coefficient
atmosphere_bottom_air__emissivity, atmosphere_bottom_air__emissivity
atmosphere_bottom_air__mass-per-volume_density, atmosphere_bottom_air__mass-per-volume_density
atmosphere_bottom_air__mass-specific_isobaric_heat_capacity, atmosphere_bottom_air_isobaric-process__mass-specific_heat_capacity
atmosphere_bottom_air__neutral_bulk_latent_heat_transfer_coefficient, atmosphere_bottom_air_bulk__neutral_latent_heat_transfer_coefficient
atmosphere_bottom_air__neutral_bulk_momentum_transfer_coefficient, atmosphere_bottom_air_bulk__neutral_momentum_transfer_coefficient
atmosphere_bottom_air__neutral_bulk_sensible_heat_transfer_coefficient, atmosphere_bottom_air_bulk__neutral_sensible_heat_transfer_coefficient
atmosphere_bottom_air__pressure, atmosphere_bottom_air__pressure
atmosphere_bottom_air__static_pressure, atmosphere_bottom_air__static_pressure
atmosphere_bottom_air__temperature, atmosphere_bottom_air__temperature
atmosphere_bottom_air_carbon-dioxide__equilibrium_partial_pressure, atmosphere_bottom_air_carbon-dioxide~equilibrium__partial_pressure
atmosphere_bottom_air_carbon-dioxide__partial_pressure, atmosphere_bottom_air_carbon-dioxide__partial_pressure
atmosphere_bottom_air_carbon-dioxide__relative_saturation, atmosphere_bottom_air_carbon-dioxide__relative_saturation
atmosphere_bottom_air_carbon-dioxide__saturated_partial_pressure, atmosphere_bottom_air~saturated_carbon-dioxide__partial_pressure
atmosphere_bottom_air_flow__bulk_richardson_number, atmosphere_bottom_air_flowing_bulk__richardson_number
atmosphere_bottom_air_flow__dynamic_pressure, atmosphere_bottom_air_flowing__dynamic_pressure
atmosphere_bottom_air_flow__flux_richardson_number, atmosphere_bottom_air_flowing__flux_richardson_number
atmosphere_bottom_air_flow__gradient_richardson_number, atmosphere_bottom_air_flowing__gradient_richardson_number
atmosphere_bottom_air_flow__log_law_displacement_length, atmosphere_bottom_air_flowing__log-law_displacement_length
atmosphere_bottom_air_flow__log_law_roughness_length, atmosphere_bottom_air_flowing__log-law_roughness_length
atmosphere_bottom_air_flow__reference_height_speed, atmosphere_bottom_air_flowing_at-reference-height__speed
atmosphere_bottom_air_flow__speed_reference_height, atmosphere_bottom_air_flowing_at-speed__reference_height
