original_varname,new_varname,object_name,quantity_name,annotated_object_name
land_surface_air_radiation~shortwave~downwelling__energy_flux,land_surface_air_radiation~shortwave~downwelling__energy_flux,land_surface_air_radiation~shortwave~downwelling,energy_flux,((land-has-abstraction-surface)-is-location-of-(air-contains-radiation~shortwave~downwelling))
land_surface_soil_water__volume_fraction,land_surface_soil_water__volume_fraction,land_surface_soil_water,volume_fraction,((land-has-abstraction-surface)-contains-(soil-as-medium-water))
land_surface~0-to-10cm-below_soil_water__volume_fraction,land_surface~0-to-10cm-below_soil_water__volume_fraction,land_surface~0-to-10cm-below_soil_water,volume_fraction,((land-has-abstraction-surface~0-to-10cm-below)-contains-(soil-as-medium-water))
land_surface~100-to-200cm-below_soil_water__volume_fraction,land_surface~100-to-200cm-below_soil_water__volume_fraction,land_surface~100-to-200cm-below_soil_water,volume_fraction,((land-has-abstraction-surface~100-to-200cm-below)-contains-(soil-as-medium-water))
land_surface~10-to-40cm-below_soil_water__volume_fraction,land_surface~10-to-40cm-below_soil_water__volume_fraction,land_surface~10-to-40cm-below_soil_water,volume_fraction,((land-has-abstraction-surface~10-to-40cm-below)-contains-(soil-as-medium-water))
land_surface~40-to-100cm-below_soil_water__volume_fraction,land_surface~40-to-100cm-below_soil_water__volume_fraction,land_surface~40-to-100cm-below_soil_water,volume_fraction,((land-has-abstraction-surface~40-to-100cm-below)-contains-(soil-as-medium-water))
land_surface~0-to-100cm-below_soil_water__volume_fraction,land_surface~0-to-100cm-below_soil_water__volume_fraction,land_surface~0-to-100cm-below_soil_water,volume_fraction,((land-has-abstraction-surface~0-to-100cm-below)-contains-(soil-as-medium-water))
land_surface~0-to-10cm-below_soil__temperature,land_surface~0-to-10cm-below_soil__temperature,land_surface~0-to-10cm-below_soil,temperature,((land-has-abstraction-surface~0-to-10cm-below)-is-location-of-soil)
land_surface~100-to-200cm-below_soil__temperature,land_surface~100-to-200cm-below_soil__temperature,land_surface~100-to-200cm-below_soil,temperature,((land-has-abstraction-surface~100-to-200cm-below)-is-location-of-soil)
land_surface~10-to-40cm-below_soil__temperature,land_surface~10-to-40cm-below_soil__temperature,land_surface~10-to-40cm-below_soil,temperature,((land-has-abstraction-surface~10-to-40cm-below)-is-location-of-soil)
land_surface~40-to-100cm-below_soil__temperature,land_surface~40-to-100cm-below_soil__temperature,land_surface~40-to-100cm-below_soil,temperature,((land-has-abstraction-surface~40-to-100cm-below)-is-location-of-soil)
land_surface_radiation~shortwave~downward__energy_flux,land_surface_radiation~shortwave~downward__energy_flux,land_surface_radiation~shortwave~downward,energy_flux,((land-has-abstraction-surface)-is-location-of-radiation~shortwave~downward)
soil__downward_heat_energy_flux,soil__downward_component_of_heat_energy_flux,soil,downward_component_of_heat_energy_flux,soil
wind__speed,wind__speed,wind,speed,wind
land_crop__observed_allocated_area,observation_land_crop_allocation__area,observation_land_crop_allocation,area,(observation-observes-(land-as-main-crop-as-in-allocation))
land_crop__observed_mass-per-area_yield,observation_land_crop__mass-per-area_yield,observation_land_crop,mass-per-area_yield,(observation-observes-(land-as-medium-crop))
crop_fertilizer~nitrogen__observed_applied_mass,observation_crop_nitrogen-fertilizer_application__mass,observation_crop_nitrogen-fertilizer_application,mass,(observation-observes-(crop-as-sink-nitrogen-fertilizer-undergoes-process-application))
crop_fertilizer~nitrogen__yield_elasticity,crop_nitrogen-fertilizer__yield_elasticity,crop_nitrogen-fertilizer,yield_elasticity,(crop-as-main-nitrogen-fertilizer-as-in)
crop__supply_elasticity,crop__supply_elasticity,crop,supply_elasticity,crop
land_crop__production_cost-per-area,land_crop_production__cost-per-area,land_crop_production,cost-per-area,(land-as-medium-crop-undergoes-process-production)
fertilizer~nitrogen__usage-cost-per-applied-mass,nitrogen-fertilizer_usage-vs-application__cost-per-mass,nitrogen-fertilizer_usage-vs-application,cost-per-mass,(nitrogen-fertilizer-undergoes-process-usage-vs-application)
farmer_crop__received_price-per-mass,farmer_crop__received_price-per-mass,farmer_crop,received_price-per-mass,(farmer-as-main-crop-as-source)
soil_water__van-genuchten_beta_parameter,soil_water__van-genuchten_alpha_parameter,soil_water,van-genuchten_alpha_parameter,(soil-as-medium-water)
atmosphere_bottom_air_water~vapor__partial_pressure,atmosphere_bottom_air_water~vapor__partial_pressure,atmosphere_bottom_air_water~vapor,partial_pressure,((atmosphere-has-part-bottom)-contains-(air-as-medium-water~vapor))
channel_bed__thickness,channel_bed__thickness,channel_bed,thickness,(channel-has-part-bed)
channel_bed_below-channel-bank__depth,channel_bed_below-river-bank__depth,channel_bed_below-river-bank,depth,((channel-has-part-bed)-measured-below-river-bank)
channel_bed_water__hydraulic_conductivity,channel_bed_water__hydraulic_conductivity,channel_bed_water,hydraulic_conductivity,((channel-has-part-bed)-as-medium-water)
channel_bottom_sediment_grain_water__hydraulic_conductivity,channel_bottom_sediment_grain_water__hydraulic_conductivity,channel_bottom_sediment_grain_water,hydraulic_conductivity,((channel-has-part-bottom)-contains-((sediment-has-form-grain)-as-medium-water))
channel_water__discharge_coefficient,channel_water__discharge_coefficient,channel_water,discharge_coefficient,(channel-contains-water)
land_surface_wind__speed,land_surface_wind__speed,land_surface_wind,speed,((land-has-abstraction-surface)-is-location-of-wind)
land_vegetation_canopy_water__interception_storage_factor,land_vegetation_canopy_water_interception__storage_factor,land_vegetation_canopy_water_interception,storage_factor,(land-is-location-of-((vegetation-contains-part-canopy)-as-sink-water-undergoes-process-interception))
snow-or-ice__melt_factor,snow-or-ice__melt_factor,snow-or-ice,melt_factor,snow-or-ice
soil__residual_porosity,soil__residual_porosity,soil,residual_porosity,soil
soil_macropores_below-land-surface__depth,soil_macropores_below-land_surface__depth,soil_macropores_below-land_surface,depth,((soil-contains-macropores)-measured-below-(land-has-abstraction-surface))
soil_macropores_water__vertical_hydraulic_conductivity,soil_macropores_water__vertical_component_of_hydraulic_conductivity,soil_macropores_water,vertical_component_of_hydraulic_conductivity,((soil-contains-macropores)-as-medium-water)
soil_layer~top__thickness,soil_layer~topmost__thickness,soil_layer~topmost,thickness,(soil-has-form-layer~topmost)
soil_layer~top~infiltration__thickness,soil_layer~topmost_water_infiltration__thickness,soil_layer~topmost_water_infiltration,thickness,((soil-has-form-layer~topmost)-as-sink-water-undergoes-process-infiltration)
soil_water__vertical_saturated_hydraulic_conductivity,soil~saturated_water__vertical_component_of_hydraulic_conductivity,soil~saturated_water,vertical_component_of_hydraulic_conductivity,(soil~saturated-as-medium-water)
water__volume_flow_rate,water_flowing__volume_rate,water_flowing,volume_rate,(water-undergoes-process-flowing)
water_below-land-surface__depth,water_below-land_surface__depth,water_below-land_surface,depth,(water-measured-below-(land-has-abstraction-surface))
aquifer~left_channel~stream_reach_water__baseflow_volume_flux,aquifer~left_stream_channel_reach_water_baseflow__volume_flux,aquifer~left_stream_channel_reach_water_baseflow,volume_flux,(aquifer~left-as-source-((stream-has-form-channel)-contains-part-reach)-as-sink-water-undergoes-process-baseflow)
aquifer~right_channel~stream_reach_water__baseflow_volume_flux,aquifer~right_stream_channel_reach_water_baseflow__volume_flux,aquifer~right_stream_channel_reach_water_baseflow,volume_flux,(aquifer~right-as-source-((stream-has-form-channel)-contains-part-reach)-as-sink-water-undergoes-process-baseflow)
channel~river_bed_channel~stream_reach_water__leakage_volume_flux,river_channel_bed_stream_channel_reach_water_leakage__volume_flux,river_channel_bed_stream_channel_reach_water_leakage,volume_flux,(((river-has-form-channel)-contains-part-bed)-as-source-((stream-has-form-channel)-contains-part-reach)-as-sink-water-undergoes-process-leakage)
channel~river_bed_water~outgoing__lateral_volume_flux,river_channel_bed_water~outgoing__lateral_component_of_volume_flux,river_channel_bed_water~outgoing,lateral_component_of_volume_flux,((river-has-form-channel-has-part-bed)-as-source-water~outgoing)
channel~river_bed_water~incoming__lateral_volume_flux,river_channel_bed_water~incoming__lateral_component_of_volume_flux,river_channel_bed_water~incoming,lateral_component_of_volume_flux,((river-has-form-channel-has-part-bed)-as-sink-water~incoming)
channel~river_bed_water__volume-per-area_storage_capacity,river_channel_bed_water__volume-per-area_storage_capacity,river_channel_bed_water,volume-per-area_storage_capacity,((river-has-form-channel-has-part-bed)-as-medium-water)
channel~river_water__stage_height,river_channel_water__stage_height,river_channel_water,stage_height,((river-has-form-channel)-contains-water)
channel~stream_reach_water~incoming__lateral_volume_flux,stream_channel_reach_water~incoming__lateral_component_of_volume_flux,stream_channel_reach_water~incoming,lateral_component_of_volume_flux,(((stream-has-form-channel)-contains-part-reach)-as-sink-water)
channel~stream_reach_water~outgoing__lateral_volume_flux,stream_channel_reach_water~outgoing__lateral_component_of_volume_flux,stream_channel_reach_water~outgoing,lateral_component_of_volume_flux,(((stream-has-form-channel)-contains-part-reach)-as-source-water)
groundwater__head,groundwater__head,groundwater,head,groundwater
land_subsurface_aquifer~left_channel~river_bed_water__volume_flux,land_subsurface_aquifer~left_river_channel_bed_water__volume_flux,land_subsurface_aquifer~left_river_channel_bed_water,volume_flux,(((land-has-part-subsurface)-contains-aquifer~left)-as-source-(river-has-form-channel-has-part-bed)-as-sink-water)
land_subsurface_aquifer~right_channel~river_bed_water__volume_flux,land_subsurface_aquifer~right_river_channel_bed_water__volume_flux,land_subsurface_aquifer~right_river_channel_bed_water,volume_flux,(((land-has-part-subsurface)-contains-aquifer~right)-as-source-(river-has-form-channel-has-part-bed)-as-sink-water)
land_surface_snow__time_integral_of_accumulation_volume_flux,land_surface_snow_accumulation__time_integral_of_volume_flux,land_surface_snow_accumulation,time_integral_of_volume_flux,((land-has-abstraction-surface)-is-location-of-(snow-undergoes-process-accumulation))
land_surface_terrain~left_channel~stream_reach_water__volume_flux,land_surface_terrain~left_stream_channel_reach_water__volume_flux,land_surface_terrain~left_stream_channel_reach_water,volume_flux,((land-has-abstraction-surface-has-form-terrain~left)-is-location-of-((stream-has-form-channel-has-part-reach)-contains-water))
land_surface_terrain~right_channel~stream_reach_water__volume_flux,land_surface_terrain~right_stream_channel_reach_water__volume_flux,land_surface_terrain~right_stream_channel_reach_water,volume_flux,((land-has-abstraction-surface-has-form-terrain~right)-is-location-of-((stream-has-form-channel-has-part-reach)-contains-water))
land_vegetation_canopy_water__evaporation_volume_flux,land_vegetation_canopy_water_evaporation__volume_flux,land_vegetation_canopy_water_evaporation,volume_flux,(land-is-location-of-((vegetation-contains-part-canopy)-as-source-water-undergoes-process-evaporation))
soil_water__volume-per-area_concentration,soil_water__volume-per-area_concentration,soil_water,volume-per-area_concentration,(soil-as-medium-water)
soil_water__volume-per-area_interception_storage_capacity,soil_water_interception__volume-per-area_storage_capacity,soil_water_interception,volume-per-area_storage_capacity,(soil-as-sink-water-undergoes-process-interception)
air__dielectric_constant,air__relative_permittivity,air,relative_permittivity,air
air__dynamic_shear_viscosity,air__shear_dynamic_viscosity,air,shear_dynamic_viscosity,air
air__dynamic_volume_viscosity,air__volume_dynamic_viscosity,air,volume_dynamic_viscosity,air
air__kinematic_shear_viscosity,air__shear_kinematic_viscosity,air,shear_kinematic_viscosity,air
air__kinematic_volume_viscosity,air__volume_kinematic_viscosity,air,volume_kinematic_viscosity,air
air__volume-specific_isochoric_heat_capacity,air_isochoric-process__volume-specific_heat_capacity,air_isochoric-process,volume-specific_heat_capacity,(air-undergoes-process-isochoric-process)
air_helium-plume__richardson_number,air_helium_plume__richardson_number,air_helium_plume,richardson_number,(air-as-medium-(helium-has-form-plume))
air_radiation~visible__speed,air_radiation~visible__speed,air_radiation~visible,speed,(air-as-medium-radiation~visible)
air_water~vapor__dew_point_temperature,air_water~vapor~dew-point__temperature,air_water~vapor~dew-point,temperature,(air-as-medium-water~vapor~dew-point)
air_water~vapor__saturated_partial_pressure,air~saturated_water~vapor__partial_pressure,air~saturated_water~vapor,partial_pressure,(air~saturated-contains-water~vapor)
aircraft__flight_duration,aircraft_flight__duration,aircraft_flight,duration,(aircraft-undergoes-process-flight)
airfoil__drag_coefficient,airfoil__drag_coefficient,airfoil,drag_coefficient,airfoil
airfoil__lift_coefficient,airfoil__lift_coefficient,airfoil,lift_coefficient,airfoil
airfoil_curve~enclosing__circulation,airfoil_enclosing-curve__circulation,airfoil_enclosing-curve,circulation,(airfoil-has-abstraction-enclosing-curve)
airplane__altitude,airplane__altitude,airplane,altitude,airplane
airplane__mach_number,airplane__mach_number,airplane,mach_number,airplane
airplane_wing__span,airplane__wingspan,airplane,wingspan,airplane
air~dry__mass-specific_gas_constant,air~dry__mass-specific_gas_constant,air~dry,mass-specific_gas_constant,(air~dry)
air~dry_water~vapor__gas_constant_ratio,air~dry_water~vapor__gas_constant_ratio,air~dry_water~vapor,gas_constant_ratio,(air~dry-as-numerator-water~vapor-as-denominator)
aluminum__mass-specific_isobaric_heat_capacity,aluminum_isobaric-process__mass-specific_heat_capacity,aluminum_isobaric-process,mass-specific_heat_capacity,(aluminum-undergoes-process-isobaric-process)
anvil__isobaric_heat_capacity,anvil_isobaric-process__heat_capacity,anvil_isobaric-process,heat_capacity,(anvil-undergoes-process-isobaric-process)
appliance~electric__voltage,electric-appliance__voltage,electric-appliance,voltage,electric-appliance
atmosphere_aerosol_dust__reduction_of_transmittance,atmosphere_aerosol_dust__reduction_of_transmittance,atmosphere_aerosol_dust,reduction_of_transmittance,(atmosphere-contains-(aerosol-as-medium-dust))
atmosphere_aerosol_radiation~incoming~shortwave__absorbed_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~absorbed__energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~absorbed,energy_flux,(atmosphere-contains-(aerosol-contains-radiation~incoming~shortwave~absorbed))
atmosphere_aerosol_radiation~incoming~shortwave__absorptance,atmosphere_aerosol_radiation~incoming~shortwave_absorption__absorptance,atmosphere_aerosol_radiation~incoming~shortwave_absorption,absorptance,((atmosphere-contains-aerosol)-as-sink-radiation~incoming~shortwave-undergoes-process-absorption)
atmosphere_aerosol_radiation~incoming~shortwave__reflectance,atmosphere_aerosol_radiation~incoming~shortwave_reflection__reflectance,atmosphere_aerosol_radiation~incoming~shortwave_reflection,reflectance,((atmosphere-contains-aerosol)-as-source-radiation~incoming~shortwave-undergoes-process-reflection)
atmosphere_aerosol_radiation~incoming~shortwave__reflected_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~reflected__energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~reflected,energy_flux,(atmosphere-contains-(aerosol-contains-radiation~incoming~shortwave~reflected))
atmosphere_aerosol_radiation~incoming~shortwave__transmittance,atmosphere_aerosol_radiation~incoming~shortwave_transmission__transmittance,atmosphere_aerosol_radiation~incoming~shortwave_transmission,transmittance,((atmosphere-contains-aerosol)-as-sink-radiation~incoming~shortwave-undergoes-process-transmission)
atmosphere_aerosol_radiation~incoming~shortwave__transmitted_energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~transmitted__energy_flux,atmosphere_aerosol_radiation~incoming~shortwave~transmitted,energy_flux,(atmosphere-contains-(aerosol-contains-radiation~incoming~shortwave~transmitted))
atmosphere_aerosol_radiation~outgoing~longwave__emittance,atmosphere_aerosol_radiation~outgoing~longwave_emission__emittance,atmosphere_aerosol_radiation~outgoing~longwave_emission,emittance,((atmosphere-contains-aerosol)-as-source-radiation~outgoing~longwave-undergoes-process-emission)
atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux,atmosphere_aerosol_radiation~outgoing~longwave~downward__energy_flux,atmosphere_aerosol_radiation~outgoing~longwave~downward,energy_flux,(atmosphere-contains-(aerosol-contains-radiation~outgoing~longwave~downward))
atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux,atmosphere_aerosol_radiation~outgoing~longwave~upward__energy_flux,atmosphere_aerosol_radiation~outgoing~longwave~upward,energy_flux,(atmosphere-contains-(aerosol-contains-radiation~outgoing~longwave~upward))
atmosphere_air-column_acetic-acid__mass-per-area_density,atmosphere_air_column_acetic-acid__mass-per-area_density,atmosphere_air_column_acetic-acid,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-acetic-acid))
atmosphere_air-column_aceto-nitrile__mass-per-area_density,atmosphere_air_column_acetonitrile__mass-per-area_density,atmosphere_air_column_acetonitrile,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-acetonitrile))
atmosphere_air-column_aerosol~dry_ammonium__mass-per-area_density,atmosphere_air_column_aerosol~dry_ammonium__mass-per-area_density,atmosphere_air_column_aerosol~dry_ammonium,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-(aerosol~dry-has-matter-ammonium)))
atmosphere_air-column_alkanes__mass-per-area_density,atmosphere_air_column_alkanes__mass-per-area_density,atmosphere_air_column_alkanes,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-alkanes))
atmosphere_air-column_alkenes__mass-per-area_density,atmosphere_air_column_alkenes__mass-per-area_density,atmosphere_air_column_alkenes,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-alkenes))
atmosphere_air-column_alpha-hexachlorocyclohexane__mass-per-area_density,atmosphere_air_column_alpha-hch__mass-per-area_density,atmosphere_air_column_alpha-hch,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-alpha-hch))
atmosphere_air-column_alpha-pinene__mass-per-area_density,atmosphere_air_column_alpha-pinene__mass-per-area_density,atmosphere_air_column_alpha-pinene,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-alpha-pinene))
atmosphere_air-column_ammonia__mass-per-area_density,atmosphere_air_column_ammonia__mass-per-area_density,atmosphere_air_column_ammonia,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-ammonia))
atmosphere_air-column_clox-as-chlorine__mass-per-area_density,atmosphere_air_column_clox-as-chlorine__mass-per-area_density,atmosphere_air_column_clox-as-chlorine,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-clox-expressed-as-chlorine))
atmosphere_air-column_hox-as-hydrogen__mass-per-area_density,atmosphere_air_column_hox-as-hydrogen__mass-per-area_density,atmosphere_air_column_hox-as-hydrogen,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-hox-expressed-as-hydrogen))
atmosphere_air-column_nox-as-nitrogen__mass-per-area_density,atmosphere_air_column_nox-as-nitrogen__mass-per-area_density,atmosphere_air_column_nox-as-nitrogen,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-nox-expressed-as-nitrogen))
atmosphere_air-column_water~vapor__liquid-equivalent_depth,atmosphere_air_column_water~vapor__leq_depth,atmosphere_air_column_water~vapor,leq_depth,(atmosphere-contains-((air-has-form-column)-contains-water~vapor))
atmosphere_air-column_water~vapor__mass-per-area_density,atmosphere_air_column_water~vapor__mass-per-area_density,atmosphere_air_column_water~vapor,mass-per-area_density,(atmosphere-contains-((air-has-form-column)-contains-water~vapor))
atmosphere_air__anomaly_of_pressure,atmosphere_air__anomaly_of_pressure,atmosphere_air,anomaly_of_pressure,(atmosphere-contains-air)
atmosphere_air__anomaly_of_temperature,atmosphere_air__anomaly_of_temperature,atmosphere_air,anomaly_of_temperature,(atmosphere-contains-air)
atmosphere_air__azimuth_angle_of_gradient_of_temperature,atmosphere_air__azimuth_angle_of_gradient_of_temperature,atmosphere_air,azimuth_angle_of_gradient_of_temperature,(atmosphere-contains-air)
atmosphere_air__convective_available_potential_energy,atmosphere_air__convective_available_potential_energy,atmosphere_air,convective_available_potential_energy,(atmosphere-contains-air)
atmosphere_air__east_derivative_of_temperature,atmosphere_air__east_derivative_of_temperature,atmosphere_air,east_derivative_of_temperature,(atmosphere-contains-air)
atmosphere_air__elevation_angle_of_gradient_of_temperature,atmosphere_air__elevation_angle_of_gradient_of_temperature,atmosphere_air,elevation_angle_of_gradient_of_temperature,(atmosphere-contains-air)
atmosphere_air__equivalent_potential_temperature,atmosphere_air__equivalent_potential_temperature,atmosphere_air,equivalent_potential_temperature,(atmosphere-contains-air)
atmosphere_air__equivalent_temperature,atmosphere_air__equivalent_temperature,atmosphere_air,equivalent_temperature,(atmosphere-contains-air)
atmosphere_air__heat_capacity_ratio,atmosphere_air__heat_capacity_ratio,atmosphere_air,heat_capacity_ratio,(atmosphere-contains-air)
atmosphere_air__increment_of_pressure,atmosphere_air__increment_of_pressure,atmosphere_air,increment_of_pressure,(atmosphere-contains-air)
atmosphere_air__increment_of_temperature,atmosphere_air__increment_of_temperature,atmosphere_air,increment_of_temperature,(atmosphere-contains-air)
atmosphere_air__isentropic_compressibility,atmosphere_air_isentropic-process__compressibility,atmosphere_air_isentropic-process,compressibility,(atmosphere-contains-(air-undergoes-process-isentropic-process))
atmosphere_air__isothermal_compressibility,atmosphere_air_isothermal-process__compressibility,atmosphere_air_isothermal-process,compressibility,(atmosphere-contains-(air-undergoes-process-isothermal-process))
atmosphere_air__magnitude_of_gradient_of_temperature,atmosphere_air__magnitude_of_gradient_of_temperature,atmosphere_air,magnitude_of_gradient_of_temperature,(atmosphere-contains-air)
atmosphere_air__mass-per-volume_density,atmosphere_air__mass-per-volume_density,atmosphere_air,mass-per-volume_density,(atmosphere-contains-air)
atmosphere_air__mass-specific_isobaric_heat_capacity,atmosphere_air_isobaric-process__mass-specific_heat_capacity,atmosphere_air_isobaric-process,mass-specific_heat_capacity,(atmosphere-contains-(air-undergoes-process-isobaric-process))
atmosphere_air__mass-specific_isochoric_heat_capacity,atmosphere_air_isochoric-process__mass-specific_heat_capacity,atmosphere_air_isochoric-process,mass-specific_heat_capacity,(atmosphere-contains-(air-undergoes-process-isochoric-process))
atmosphere_air__north_derivative_of_temperature,atmosphere_air__north_derivative_of_temperature,atmosphere_air,north_derivative_of_temperature,(atmosphere-contains-air)
atmosphere_air__potential_temperature,atmosphere_air__potential_temperature,atmosphere_air,potential_temperature,(atmosphere-contains-air)
atmosphere_air__static_pressure,atmosphere_air__static_pressure,atmosphere_air,static_pressure,(atmosphere-contains-air)
atmosphere_air__static_pressure_environmental_lapse_rate,atmosphere_air__environmental_static_pressure_lapse_rate,atmosphere_air,environmental_static_pressure_lapse_rate,(atmosphere-contains-air)
atmosphere_air__temperature,atmosphere_air__temperature,atmosphere_air,temperature,(atmosphere-contains-air)
atmosphere_air__temperature_dry_adiabatic_lapse_rate,atmosphere_air~dry_adiabatic-process__temperature_lapse_rate,atmosphere_air~dry_adiabatic-process,temperature_lapse_rate,(atmosphere-contains-(air~dry-undergoes-process-adiabatic-process))
atmosphere_air__temperature_environmental_lapse_rate,atmosphere_air__environmental_temperature_lapse_rate,atmosphere_air,environmental_temperature_lapse_rate,(atmosphere-contains-air)
atmosphere_air__temperature_lapse_rate,atmosphere_air__temperature_lapse_rate,atmosphere_air,temperature_lapse_rate,(atmosphere-contains-air)
atmosphere_air__temperature_saturated_adiabatic_lapse_rate,atmosphere_air~saturated_adiabatic-process__temperature_lapse_rate,atmosphere_air~saturated_adiabatic-process,temperature_lapse_rate,(atmosphere-contains-(air~saturated-undergoes-process-adiabatic-process))
atmosphere_air__thermal_conductivity,atmosphere_air__thermal_conductivity,atmosphere_air,thermal_conductivity,(atmosphere-contains-air)
atmosphere_air__thermal_diffusivity,atmosphere_air__thermal_diffusivity,atmosphere_air,thermal_diffusivity,(atmosphere-contains-air)
atmosphere_air__thermal_inertia,atmosphere_air__thermal_inertia,atmosphere_air,thermal_inertia,(atmosphere-contains-air)
atmosphere_air__thermal_resistivity,atmosphere_air__thermal_resistivity,atmosphere_air,thermal_resistivity,(atmosphere-contains-air)
atmosphere_air__volume-specific_isobaric_heat_capacity,atmosphere_air_isobaric-process__volume-specific_heat_capacity,atmosphere_air_isobaric-process,volume-specific_heat_capacity,(atmosphere-contains-(air-undergoes-process-isobaric-process))
atmosphere_air__volume-specific_isochoric_heat_capacity,atmosphere_air_isochoric-process__volume-specific_heat_capacity,atmosphere_air_isochoric-process,volume-specific_heat_capacity,(atmosphere-contains-(air-undergoes-process-isochoric-process))
atmosphere_air__x_derivative_of_temperature,atmosphere_air__x_derivative_of_temperature,atmosphere_air,x_derivative_of_temperature,(atmosphere-contains-air)
atmosphere_air__y_derivative_of_temperature,atmosphere_air__y_derivative_of_temperature,atmosphere_air,y_derivative_of_temperature,(atmosphere-contains-air)
atmosphere_air__z_derivative_of_temperature,atmosphere_air__z_derivative_of_temperature,atmosphere_air,z_derivative_of_temperature,(atmosphere-contains-air)
atmosphere_air_carbon-dioxide__equilibrium_partial_pressure,atmosphere_air_carbon-dioxide~equilibrium__partial_pressure,atmosphere_air_carbon-dioxide~equilibrium,partial_pressure,(atmosphere-contains-(air-as-medium-carbon-dioxide~equilibrium))
atmosphere_air_carbon-dioxide__partial_pressure,atmosphere_air_carbon-dioxide__partial_pressure,atmosphere_air_carbon-dioxide,partial_pressure,(atmosphere-contains-(air-as-medium-carbon-dioxide))
atmosphere_air_carbon-dioxide__relative_saturation,atmosphere_air_carbon-dioxide__relative_saturation,atmosphere_air_carbon-dioxide,relative_saturation,(atmosphere-contains-(air-as-medium-carbon-dioxide))
atmosphere_air_carbon-dioxide__saturated_partial_pressure,atmosphere_air~saturated_carbon-dioxide__partial_pressure,atmosphere_air~saturated_carbon-dioxide,partial_pressure,(atmosphere-contains-(air~saturated-as-medium-carbon-dioxide))
atmosphere_air_flow__azimuth_angle_of_bolus_velocity,atmosphere_air_flowing__azimuth_angle_of_bolus_velocity,atmosphere_air_flowing,azimuth_angle_of_bolus_velocity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__azimuth_angle_of_gradient_of_potential_vorticity,atmosphere_air_flowing__azimuth_angle_of_gradient_of_potential_vorticity,atmosphere_air_flowing,azimuth_angle_of_gradient_of_potential_vorticity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__azimuth_angle_of_gradient_of_pressure,atmosphere_air_flowing__azimuth_angle_of_gradient_of_pressure,atmosphere_air_flowing,azimuth_angle_of_gradient_of_pressure,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__azimuth_angle_of_momentum,atmosphere_air_flowing__azimuth_angle_of_momentum,atmosphere_air_flowing,azimuth_angle_of_momentum,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__azimuth_angle_of_velocity,atmosphere_air_flowing__azimuth_angle_of_velocity,atmosphere_air_flowing,azimuth_angle_of_velocity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__azimuth_angle_of_vorticity,atmosphere_air_flowing__azimuth_angle_of_vorticity,atmosphere_air_flowing,azimuth_angle_of_vorticity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__curl_of_velocity,atmosphere_air_flowing__curl_of_velocity,atmosphere_air_flowing,curl_of_velocity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__dynamic_pressure,atmosphere_air_flowing__dynamic_pressure,atmosphere_air_flowing,dynamic_pressure,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__east_component_of_bolus_velocity,atmosphere_air_flowing__east_component_of_bolus_velocity,atmosphere_air_flowing,east_component_of_bolus_velocity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__east_component_of_momentum,atmosphere_air_flowing__east_component_of_momentum,atmosphere_air_flowing,east_component_of_momentum,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__east_component_of_velocity,atmosphere_air_flowing__east_component_of_velocity,atmosphere_air_flowing,east_component_of_velocity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__east_component_of_vorticity,atmosphere_air_flowing__east_component_of_vorticity,atmosphere_air_flowing,east_component_of_vorticity,(atmosphere-contains-(air-undergoes-process-flowing))
atmosphere_air_flow__east_derivative_of_potential_vorticity,atmosphere_air_flowing__east_derivative_of_potential_vorticity,atmosphere_air_flowing,east_derivative_of_potential_vorticity,(atmosphere-contains-(air-undergoes-process-flowing))
