original_varname,new_varname,object_name,quantity_name,annotated_object_name
earth_interior_earthquake_wave~p__wavenumber,earth_interior_earthquake_p-seismic-wave__wavenumber,earth_interior_earthquake_p-seismic-wave,wavenumber,((earth-has-part-interior)-contains-(earthquake-is-source-of-p-seismic-wave))
earth_interior_earthquake_wave~s__amplitude,earth_interior_earthquake_s-seismic-wave__amplitude,earth_interior_earthquake_s-seismic-wave,amplitude,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__angular_frequency,earth_interior_earthquake_s-seismic-wave__angular_frequency,earth_interior_earthquake_s-seismic-wave,angular_frequency,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__angular_wavenumber,earth_interior_earthquake_s-seismic-wave__angular_wavenumber,earth_interior_earthquake_s-seismic-wave,angular_wavenumber,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__frequency,earth_interior_earthquake_s-seismic-wave__frequency,earth_interior_earthquake_s-seismic-wave,frequency,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__period,earth_interior_earthquake_s-seismic-wave__period,earth_interior_earthquake_s-seismic-wave,period,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__speed,earth_interior_earthquake_s-seismic-wave__speed,earth_interior_earthquake_s-seismic-wave,speed,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__takeoff_angle,earth_interior_earthquake_s-seismic-wave_takeoff__angle,earth_interior_earthquake_s-seismic-wave_takeoff,angle,((earth-has-part-interior)-contains-(earthquake-is-source-of-(s-seismic-wave-undergoes-process-takeoff)))
earth_interior_earthquake_wave~s__wavelength,earth_interior_earthquake_s-seismic-wave__wavelength,earth_interior_earthquake_s-seismic-wave,wavelength,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_interior_earthquake_wave~s__wavenumber,earth_interior_earthquake_s-seismic-wave__wavenumber,earth_interior_earthquake_s-seismic-wave,wavenumber,((earth-has-part-interior)-contains-(earthquake-is-source-of-s-seismic-wave))
earth_lithosphere-asthenosphere_boundary__depth,earth_lithosphere-asthenosphere-boundary__depth,earth_lithosphere-asthenosphere-boundary,depth,(earth-has-abstraction-lithosphere-asthenosphere-boundary)
earth_material__bulk_modulus,earth_material__bulk_modulus,earth_material,bulk_modulus,(earth-contains-material)
earth_material__down_component_of_electric-d-field,earth_material__down_component_of_electric-d-field,earth_material,down_component_of_electric-d-field,(earth-contains-material)
earth_material__down_component_of_electric-e-field,earth_material__down_component_of_electric-e-field,earth_material,down_component_of_electric-e-field,(earth-contains-material)
earth_material__down_component_of_electric-p-field,earth_material__down_component_of_electric-p-field,earth_material,down_component_of_electric-p-field,(earth-contains-material)
earth_material__down_component_of_magnetic-b-field,earth_material__down_component_of_magnetic-b-field,earth_material,down_component_of_magnetic-b-field,(earth-contains-material)
earth_material__down_component_of_magnetic-h-field,earth_material__down_component_of_magnetic-h-field,earth_material,down_component_of_magnetic-h-field,(earth-contains-material)
earth_material__down_component_of_magnetic-m-field,earth_material__down_component_of_magnetic-m-field,earth_material,down_component_of_magnetic-m-field,(earth-contains-material)
earth_material__east_component_of_electric-d-field,earth_material__east_component_of_electric-d-field,earth_material,east_component_of_electric-d-field,(earth-contains-material)
earth_material__east_component_of_electric-e-field,earth_material__east_component_of_electric-e-field,earth_material,east_component_of_electric-e-field,(earth-contains-material)
earth_material__east_component_of_electric-p-field,earth_material__east_component_of_electric-p-field,earth_material,east_component_of_electric-p-field,(earth-contains-material)
earth_material__east_component_of_magnetic-b-field,earth_material__east_component_of_magnetic-b-field,earth_material,east_component_of_magnetic-b-field,(earth-contains-material)
earth_material__east_component_of_magnetic-h-field,earth_material__east_component_of_magnetic-h-field,earth_material,east_component_of_magnetic-h-field,(earth-contains-material)
earth_material__east_component_of_magnetic-m-field,earth_material__east_component_of_magnetic-m-field,earth_material,east_component_of_magnetic-m-field,(earth-contains-material)
earth_material__electric_suceptibility,earth_material__electric_susceptibility,earth_material,electric_susceptibility,(earth-contains-material)
earth_material__electrical_conductivity,earth_material__electrical_conductivity,earth_material,electrical_conductivity,(earth-contains-material)
earth_material__lame_first_parameter,earth_material__lame_first_parameter,earth_material,lame_first_parameter,(earth-contains-material)
earth_material__magnetic_susceptibility,earth_material__magnetic_susceptibility,earth_material,magnetic_susceptibility,(earth-contains-material)
earth_material__north_component_of_electric-d-field,earth_material__north_component_of_electric-d-field,earth_material,north_component_of_electric-d-field,(earth-contains-material)
earth_material__north_component_of_electric-e-field,earth_material__north_component_of_electric-e-field,earth_material,north_component_of_electric-e-field,(earth-contains-material)
earth_material__north_component_of_electric-p-field,earth_material__north_component_of_electric-p-field,earth_material,north_component_of_electric-p-field,(earth-contains-material)
earth_material__north_component_of_magnetic-b-field,earth_material__north_component_of_magnetic-b-field,earth_material,north_component_of_magnetic-b-field,(earth-contains-material)
earth_material__north_component_of_magnetic-h-field,earth_material__north_component_of_magnetic-h-field,earth_material,north_component_of_magnetic-h-field,(earth-contains-material)
earth_material__north_component_of_magnetic-m-field,earth_material__north_component_of_magnetic-m-field,earth_material,north_component_of_magnetic-m-field,(earth-contains-material)
earth_material__p_wave_modulus,earth_material_p-seismic-wave__modulus,earth_material_p-seismic-wave,modulus,(earth-contains-(material-as-medium-p-seismic-wave))
earth_material__poisson_ratio,earth_material__poisson_ratio,earth_material,poisson_ratio,(earth-contains-material)
earth_material__relative_electric_permittivity,earth_material__relative_permittivity,earth_material,relative_permittivity,(earth-contains-material)
earth_material__relative_magnetic_permeability,earth_material__relative_magnetic_permeability,earth_material,relative_magnetic_permeability,(earth-contains-material)
earth_material__shear_modulus,earth_material__shear_modulus,earth_material,shear_modulus,(earth-contains-material)
earth_material__young_modulus,earth_material__young_modulus,earth_material,young_modulus,(earth-contains-material)
earth_orbit__aphelion_distance,earth_orbit_aphelion__distance,earth_orbit_aphelion,distance,(earth-has-trajectory-orbit-has-abstraction-aphelion)
earth_orbit__eccentricity,earth_orbit__eccentricity,earth_orbit,eccentricity,(earth-has-trajectory-orbit)
earth_orbit__perihelion_distance,earth_orbit_perihelion__distance,earth_orbit_perihelion,distance,(earth-has-trajectory-orbit-has-abstraction-perihelion)
earth_orbit_aphelion__distance,earth_orbit_aphelion__distance,earth_orbit_aphelion,distance,(earth-has-trajectory-orbit-has-abstraction-aphelion)
earth_orbit_ellipse__eccentricity,earth_orbit_ellipse__eccentricity,earth_orbit_ellipse,eccentricity,(earth-has-trajectory-orbit-has-abstraction-ellipse)
earth_orbit_ellipse_axis~semi-major__length,earth_orbit_ellipse_semi-major-axis__length,earth_orbit_ellipse_semi-major-axis,length,((earth-has-trajectory-orbit-has-abstraction-ellipse)-has-abstraction-semi-major-axis)
earth_orbit_ellipse_axis~semi-minor__length,earth_orbit_ellipse_semi-minor-axis__length,earth_orbit_ellipse_semi-minor-axis,length,((earth-has-trajectory-orbit-has-abstraction-ellipse)-has-abstraction-semi-minor-axis)
earth_orbit_ellipse_foci__separation_distance,earth_orbit_ellipse_foci__separation_distance,earth_orbit_ellipse_foci,separation_distance,((earth-has-trajectory-orbit-has-abstraction-ellipse)-has-abstraction-foci)
earth_pole~north~magnetic__latitude,earth_magnetic-north-pole__latitude,earth_magnetic-north-pole,latitude,(earth-has-abstraction-magnetic-north-pole)
earth_pole~north~magnetic__longitude,earth_magnetic-north-pole__longitude,earth_magnetic-north-pole,longitude,(earth-has-abstraction-magnetic-north-pole)
earth_pole~south~magnetic__latitude,earth_magnetic-south-pole__latitude,earth_magnetic-south-pole,latitude,(earth-has-abstraction-magnetic-south-pole)
earth_pole~south~magnetic__longitude,earth_magnetic-south-pole__longitude,earth_magnetic-south-pole,longitude,(earth-has-abstraction-magnetic-south-pole)
earth_surface__average_temperature,earth_surface__average_of_temperature,earth_surface,average_of_temperature,(earth-has-abstraction-surface)
earth_surface__range_of_diurnal_temperature,earth_surface__range_of_diurnal_temperature,earth_surface,range_of_diurnal_temperature,(earth-has-abstraction-surface)
earth_surface_earthquake_epicenter__elevation,earth_surface_earthquake_epicenter__elevation,earth_surface_earthquake_epicenter,elevation,((earth-has-abstraction-surface)-contains-(earthquake-has-abstraction-epicenter))
earth_surface_earthquake_epicenter__latitude,earth_surface_earthquake_epicenter__latitude,earth_surface_earthquake_epicenter,latitude,((earth-has-abstraction-surface)-contains-(earthquake-has-abstraction-epicenter))
earth_surface_earthquake_epicenter__longitude,earth_surface_earthquake_epicenter__longitude,earth_surface_earthquake_epicenter,longitude,((earth-has-abstraction-surface)-contains-(earthquake-has-abstraction-epicenter))
earth_surface_earthquake_wave~p_station__arrival_time,earth_surface_earthquake_p-seismic-wave_seismic-station_arrival__time,earth_surface_earthquake_p-seismic-wave_seismic-station_arrival,time,((earth-has-abstraction-surface)-contains-(earthquake-is-source-of-(p-seismic-wave-as-main-seismic-station-as-sink-arrival)))
earth_surface_earthquake_wave~p_station__travel_time,earth_surface_earthquake_p-seismic-wave_seismic-station_travel__duration,earth_surface_earthquake_p-seismic-wave_seismic-station_travel,duration,((earth-has-abstraction-surface)-contains-(earthquake-is-source-of-(p-seismic-wave-as-main-seismic-station-as-sink-travel)))
earth_surface_earthquake_wave~s_station__arrival_time,earth_surface_earthquake_s-seismic-wave_seismic-station_arrival__time,earth_surface_earthquake_s-seismic-wave_seismic-station_arrival,time,((earth-has-abstraction-surface)-contains-(earthquake-is-source-of-(s-seismic-wave-as-main-seismic-station-as-sink-arrival)))
earth_surface_earthquake_wave~s_station__travel_time,earth_surface_earthquake_s-seismic-wave_seismic-station_travel__duration,earth_surface_earthquake_s-seismic-wave_seismic-station_travel,duration,((earth-has-abstraction-surface)-contains-(earthquake-is-source-of-(s-seismic-wave-as-main-seismic-station-as-sink-travel)))
