encoded_name,label_name,has-source-phenomenon,has-primary-participant-phenomenon,has-containing-phenomenon,is-modeled-by,undergoes-process,has-in-participant-phenomenon,has-medium-participant-phenomenon,has-sink-participant-phenomenon,has-source-participant-phenomenon,has-abstraction,has-phenomenon,has-part,has-location,is-observed-by,has-form,measured-below,has-matter,is-part-of-containing-phenomenon,has-denominator-participant-phenomenon,has-numerator-participant-phenomenon,is-expressed-as,has-containing-medium-phenomenon,has-trajectory,measured-at,has-adjacent-participant-phenomenon,measured-above,drives,has-primary-participant-phenomenon2,has-role,has-participating-primary-phenomenon,has-perspective-participant-phenomenon,surrounds,measured-wrt,contains-matter,has-sink-phenomenon,referenced-with-property,reference-for-computing,orbits-around,has-first-participant-phenomenon,has-second-participant-phenomenon,has-model-location,has-domain,has-location-of-origin,has-subtrahend-participant-phenomenon,has-minuend-participant-phenomenon,has-primary-matter,measured-to,measured-from,participates-in,has-participating-medium-phenomenon,undergoes-process2,has-part2,measured-since,measured-along,has-phenomenon2,has-matter2,has-role2,has-process,has-process2,has-form2
channel-has-abstraction-x-section-has-part-top,channel_x-section_top,,,,,,,,,,x-section,,top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-abstraction-x-section-has-model-abstraction-trapezoid-has-part-bottom,channel_x-section_trapezoid_bottom,,,,trapezoid,,,,,,x-section,,bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-abstraction-x-section-has-model-abstraction-trapezoid-has-part-side,channel_x-section_trapezoid_side,,,,trapezoid,,,,,,x-section,,side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-abstraction-x-section-has-model-abstraction-trapezoid-has-part-side~left,channel_x-section_trapezoid_side~left,,,,trapezoid,,,,,,x-section,,side~left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-abstraction-x-section-has-model-abstraction-trapezoid-has-part-side~right,channel_x-section_trapezoid_side~right,,,,trapezoid,,,,,,x-section,,side~right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chlorine-as-main-electron-as-main,chlorine_electron,,chlorine,,,,,,,,,,,,,,,,,,,,,,,,,,electron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-undergoes-process-conching,chocolate_conching,,chocolate,,,conching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-undergoes-process-isobaric-process,chocolate_isobaric-process,,chocolate,,,isobaric-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-undergoes-process-isochoric-process,chocolate_isochoric-process,,chocolate,,,isochoric-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-undergoes-process-tempering,chocolate_tempering,,chocolate,,,tempering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-cacao,chocolate_cacao,,cacao,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-caffeine,chocolate_caffeine,,caffeine,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-carbohydrate,chocolate_carbohydrate,,carbohydrate,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-cholesterol,chocolate_cholesterol,,cholesterol,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-fat~monounsaturated,chocolate_fat~monounsaturated,,fat~monounsaturated,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-fat~polyunsaturated,chocolate_fat~polyunsaturated,,fat~polyunsaturated,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-fat~saturated,chocolate_fat~saturated,,fat~saturated,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-fat,chocolate_fat,,fat,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-flavanol,chocolate_flavanol,,flavanol,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-lecithin,chocolate_lecithin,,lecithin,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-as-medium-liquor,chocolate_liquor,,liquor,,,,,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate~liquid-as-medium-water,chocolate~liquid_water,,water,,,,,chocolate~liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
concrete-as-main-rubber-as-main,concrete_rubber,,concrete,,,,,,,,,,,,,,,,,,,,,,,,,,rubber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
