matter_taxonomic,matter_id,matter_label,attribute,synonym,plural_of,wikipedia_page
compound,4-chloro-2-hydroxyaniline,4-chloro-2-hydroxyaniline,,,,
compound,4-chloro-2-methylphenol,4-chloro-2-methylphenol,,,,
compound,4-chloro-3-hydroxyaniline,4-chloro-3-hydroxyaniline,,,,
compound,4-chloro-3-methylphenol,4-chloro-3-methylphenol,,p-chloro-m-cresol,,
compound,4-chloroaniline,4-chloroaniline,,p-chloroaniline,,https://en.wikipedia.org/wiki/4-Chloroaniline
compound,4-chlorobenzylmethylsulfone,4-chlorobenzylmethylsulfone,,"benzene,-1-chloro-4-(methylsulfonyl)-",,
compound,4-chlorophenyl-phenyl-ether,4-chlorophenyl-phenyl-ether,,p-chlorophenyl-phenyl-ether,,
compound,4-chlorophenylurea,4-chlorophenylurea,,"urea,-(4-chlorophenyl)-",,
compound,4-chlorotoluene,4-chlorotoluene,,p-chlorotoluene,,https://en.wikipedia.org/wiki/4-Chlorotoluene
compound,4-cumylphenol,4-cumylphenol,,"phenol,-4-(1-methyl-1-phenylethyl)-",,
compound,4-dimethylaminoazobenzene,4-dimethylaminoazobenzene,,"methyl-yellow, ci11020",,https://en.wikipedia.org/wiki/Methyl_yellow
compound,4-hydroxy-methyl-benzoate,4-hydroxy-methyl-benzoate,,"benzoic-acid,-4-hydroxy-,-methyl-ester",,
compound,4-isopropyltoluene,4-isopropyltoluene,,p-Cymene,,https://en.wikipedia.org/wiki/4-isopropyltoluene
compound,4-n-octylphenol,4-n-octylphenol,,p-octylphenol,,
compound,4-nitroaniline,4-nitroaniline,,"p-nitroaniline, 1-amino-4-nitrobenzene",,https://en.wikipedia.org/wiki/4-Nitroaniline
compound,4-nitrophenol,4-nitrophenol,,"p-nitrophenol, 4-hydroxynitrobenzene",,https://en.wikipedia.org/wiki/4-Nitrophenol
compound,4-nitroquinoline-1-oxide,4-nitroquinoline-1-oxide,,"4-nitroquinoline-1-oxide, 4nqo",,https://en.wikipedia.org/wiki/4-Nitroquinoline_1-oxide
compound,4-nitrotoluene,4-nitrotoluene,,"p-nitrotoluene, para-nitrotoluene",,https://en.wikipedia.org/wiki/4-Nitrotoluene
compound,4-nonylphenol-diethoxylate,4-nonylphenol-diethoxylate,,,,
compound,4-nonylphenol-monoethoxylate,4-nonylphenol-monoethoxylate,,,,
compound,4-nonylphenol-tetraethoxylate,4-nonylphenol-tetraethoxylate,,,,
compound,4-tert-octylphenol,4-tert-octylphenol,,"p-(1,1,3,3-tetramethylbutyl)phenol",,
compound,"4,4'-dibromooctafluorobiphenyl","4,4'-dibromooctafluorobiphenyl",,,,
compound,"4,4'-dichlorobenzophenone","4,4'-dichlorobenzophenone",,"methanone,-bis(4-chlorophenyl)-",,"https://en.wikipedia.org/wiki/4,4%27-Dichlorobenzophenone"
compound,"4,6-dinitro-2-methylphenol","4,6-dinitro-2-methylphenol",,"4,6-dinitro-o-cresol, dinitro-ortho-cresol",,https://en.wikipedia.org/wiki/Dinitro-ortho-cresol
compound,4h-cyclopenta[def]phenanthrene,4h-cyclopenta[def]phenanthrene,,,,
compound,5-hydroxydicamba,5-hydroxydicamba,,,,
compound,5-methyl-1h-benzotriazole,5-methyl-1h-benzotriazole,,"1h-benzotriazole,-5-methyl-",,
compound,5-nitro-o-toluidine,5-nitro-o-toluidine,,2-methyl-5-nitroaniline,,
compound,"7,12-dimethylbenzo[a]anthracene","7,12-dimethylbenzo[a]anthracene",,"7,12-Dimethylbenz[a]anthracene",,
compound,"9,10-anthraquinone","9,10-anthraquinone",,"Anthraquinone, anthracenedione, dioxoanthracene",,"https://en.wikipedia.org/wiki/9,10-anthraquinone"
compound,9h-fluorene,9h-fluorene,,Fluorene,,https://en.wikipedia.org/wiki/Fluorene
compound,acenaphthene,acenaphthene,,,,https://en.wikipedia.org/wiki/Acenaphthene
compound,acenaphthylene,acenaphthylene,,,,https://en.wikipedia.org/wiki/Acenaphthylene
compound,acephate,acephate,,,,https://en.wikipedia.org/wiki/Acephate
compound,acetaminophen,acetaminophen,,,,https://en.wikipedia.org/wiki/Acetaminophen
compound,acetazolamide,acetazolamide,,diamox,,https://en.wikipedia.org/wiki/Acetazolamide
compound,acetochlor,acetochlor,,,,https://en.wikipedia.org/wiki/Acetochlor
compound,acetohexamide,acetohexamide,,dymelor,,https://en.wikipedia.org/wiki/Acetohexamide
compound,acetone,acetone,,propanone,,https://en.wikipedia.org/wiki/Acetone
