phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(earth_mantle)@context~in_(material@role~medium_wave~seismic~sv@role~main),earth_mantle,context,in,"body, ",material@role~medium_wave~seismic~sv@role~main,,,,,,,,,,,,,,,
(earth_mantle)@context~in_(material_flowing),earth_mantle,context,in,"body, ",material_flowing,,,"phenomenon, ",,,,,,,,,,,,
(earth_mantle)@context~in_(material_isobaric-process),earth_mantle,context,in,"body, ",material_isobaric-process,,,"phenomenon, ",,,,,,,,,,,,
(earth_mantle)@context~in_(material_isochoric-process),earth_mantle,context,in,"body, ",material_isochoric-process,,,"phenomenon, ",,,,,,,,,,,,
(earth_mantle)@context~in_(material_isothermal-process),earth_mantle,context,in,"body, ",material_isothermal-process,,,"phenomenon, ",,,,,,,,,,,,
(earth_mantle)@context~in_(material_mineral-phase),earth_mantle,context,in,"body, ",material_mineral-phase,,,"matter, ",,,,,,,,,,,,
(earth_mantle)@context~in_(material~melt@medium_(carbonatite_melt)),earth_mantle,context,in,"body, ",material~melt@medium_(carbonatite_melt),,,,,,,,,,,,,,,
(earth_mantle)@context~in_material,earth_mantle,context,in,"body, ",material,,,"matter, ",,,,,,,,,,,,
(earth_mantle)@context~in_material~mohr-coulomb-plastic,earth_mantle,context,in,"body, ",material~mohr-coulomb-plastic,,,"phenomenon, ",,,,,,,,,,,,
(earth_surface)@context~at_((earthquake@context~source_wave~seismic~p)@role~main_station@role~sink_arrival),earth_surface,context,at,"phenomenon, ",(earthquake@context~source_wave~seismic~p)@role~main_station@role~sink_arrival,,,,,,,,,,,,,,,
(earth_surface)@context~at_((earthquake@context~source_wave~seismic~p)@role~main_station@role~sink_travel),earth_surface,context,at,"phenomenon, ",(earthquake@context~source_wave~seismic~p)@role~main_station@role~sink_travel,,,,,,,,,,,,,,,
(earth_surface)@context~at_((earthquake@context~source_wave~seismic~s)@role~main_station@role~sink_arrival),earth_surface,context,at,"phenomenon, ",(earthquake@context~source_wave~seismic~s)@role~main_station@role~sink_arrival,,,,,,,,,,,,,,,
(earth_surface)@context~at_((earthquake@context~source_wave~seismic~s)@role~main_station@role~sink_travel),earth_surface,context,at,"phenomenon, ",(earthquake@context~source_wave~seismic~s)@role~main_station@role~sink_travel,,,,,,,,,,,,,,,
(earth_surface)@context~at_(earthquake_epicenter),earth_surface,context,at,"phenomenon, ",earthquake_epicenter,,,"phenomenon, ",,,,,,,,,,,,
(earth_surface)@context~at_wind,earth_surface,context,at,"phenomenon, ",wind,,,"phenomenon, ",,,,,,,,,,,,
(earth_surface)@context~on_(station~seismic@context~part_(instrument@context~part_response-filter)),earth_surface,context,on,"phenomenon, ",station~seismic@context~part_(instrument@context~part_response-filter),,,,,,,,,,,,,,,
(earth_surface)@context~on_(station~seismic@context~part_(seismograph_shaking)),earth_surface,context,on,"phenomenon, ",station~seismic@context~part_(seismograph_shaking),,,,,,,,,,,,,,,
