body_taxonomic,body_id,body_label,role,form,attribute,synonym,plural_of,wikipedia_page
,heterotrissocladius,heterotrissocladius,,,,,,https://en.wikipedia.org/wiki/Heterotrissocladius
,hexarthra,hexarthra,,,,,,
,hexatoma,hexatoma,,,,,,https://en.wikipedia.org/wiki/Hexatoma
,himalopsyche,himalopsyche,,,,,,
,hirudinea,hirudinea,,,,leech,,https://en.wikipedia.org/wiki/Leech
,holopedidae,holopedidae,,,,,,
,holopedium,holopedium,,,,,,
,holorusia,holorusia,,,,,,https://en.wikipedia.org/wiki/Holorusia
,homophylax,homophylax,,,,,,
,homoplectra,homoplectra,,,,,,
,hoplonemertea,hoplonemertea,,,,,,
,human,human,,,,,,http://en.wikipedia.org/wiki/Human
human,human_scuba-diver,scuba-diver,scuba-diver,,,,,
,hydatophylax,hydatophylax,,,,,,
,hydra,hydra,,,,,,https://en.wikipedia.org/wiki/Hydra_(genus)
,hydridae,hydridae,,,,,,
,hydrobaenus,hydrobaenus,,,,,,
,hydroida,hydroida,,,,,,https://en.wikipedia.org/wiki/Hydroida
,hydrophoria,hydrophoria,,,,,,
,hydrophorus,hydrophorus,,,,,,https://en.wikipedia.org/wiki/Hydrophorus
,hydropsyche,hydropsyche,,,,,,https://en.wikipedia.org/wiki/Hydropsyche
hydropsyche,hydropsyche~frisoni,hydropsyche~frisoni,,,,,,
hydropsyche,hydropsyche~incommoda,hydropsyche~incommoda,,,,,,
hydropsyche,hydropsyche~orris,hydropsyche~orris,,,,,,
hydropsyche,hydropsyche~simulans,hydropsyche~simulans,,,,,,
,hydropsychidae,hydropsychidae,,,,,,https://en.wikipedia.org/wiki/Hydropsychidae
,hydroptila,hydroptila,,,,,,https://en.wikipedia.org/wiki/Hydroptila
,hydroptilidae,hydroptilidae,,,,,,https://en.wikipedia.org/wiki/Hydroptilidae
,hydrozoa,hydrozoa,,,,,,https://en.wikipedia.org/wiki/Hydrozoa
,hypocharassus,hypocharassus,,,,,,https://en.wikipedia.org/wiki/Hypocharassus
,idotea,idotea,,,,,,https://en.wikipedia.org/wiki/Idotea
,idoteidae,idoteidae,,,,,,https://en.wikipedia.org/wiki/Idoteidae
,ilyodrilus,ilyodrilus,,,,,,
,insecta,insecta,,,,insect,,https://en.wikipedia.org/wiki/Insect
,ironoquia,ironoquia,,,,,,
,isopoda,isopoda,,,,,,https://en.wikipedia.org/wiki/Isopoda
,ithytrichia,ithytrichia,,,,,,
,kellicottia,kellicottia,,,,,,
,keratella,keratella,,,,,,
,kiefferulus,kiefferulus,,,,,,https://en.wikipedia.org/wiki/Kiefferulus
,klebsiella,klebsiella,,,,,,https://en.wikipedia.org/wiki/Klebsiella
