body_taxonomic,body_id,body_label,body,part,form,expressed-as,matter,attribute,synonym,plural_of,wikipedia_page
,soil_root-zone,soil_root-zone,,root-zone,,,soil,,,,
,soil_sat-zone,soil_sat-zone,,sat-zone,,,soil,,,,
,soil_sat-zone_top,soil_sat-zone_top,soil_sat-zone,top,,,,,,,
,soil_unsat-zone,soil_unsat-zone,,unsat-zone,,,soil,,,,
,soil~moist_layer,soil~moist_layer,,layer,,,soil~moist,,,,
,star,star,,,,,,,,,https://en.wikipedia.org/wiki/Star
star,star~neutron,neutron-star,,,,,,,,,https://en.wikipedia.org/wiki/Neutron_star
star,star~white-dwarf,white-dwarf,,,,,,,,,https://en.wikipedia.org/wiki/White_dwarf
,sulfate-ion,sulfate,,,ion,,sulfate,,sulphate,,https://en.wikipedia.org/wiki/Sulfate
,sulfide-ion,sulfide,,,ion,,sulfide,,,,https://en.wikipedia.org/wiki/Sulfide
,sulfite-ion,sulfite,,,ion,,sulfite,,"SO3, sulphite",,https://en.wikipedia.org/wiki/Sulfite
star,sun,sun,,,,,,,,,http://en.wikipedia.org/wiki/Sun
moon,titan,titan,,,,,,,,,https://en.wikipedia.org/wiki/Titan_(moon)
,troposphere,troposphere,,,,,,,,,https://en.wikipedia.org/wiki/Troposphere
planet,uranus,uranus,,,,,,,,,http://en.wikipedia.org/wiki/Uranus
,valley,valley,,,,,,,,,http://en.wikipedia.org/wiki/Valley
,vegetation,vegetation,,,,,,,,,
,vegetation_canopy,vegetation_canopy,vegetation,canopy,,,,,,,
planet,venus,venus,,,,,,,,,http://en.wikipedia.org/wiki/Venus
,water_molecule,water_molecule,,,molecule,,water,,,,
star,yellow-dwarf,yellow-dwarf,,,,,,,,,https://en.wikipedia.org/wiki/G-type_main-sequence_star
