https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
pihm_LAI,LAI,LAI,Leaf Ara Index,Value of LAI (Leaf Area Index),land_vegetation__leaf-area_index,m2/m2,,,,
pihm_MF,MF,MF,Melt factor,Value of Melt factor,snow-or-ice__melt_factor,,,,,
pihm_PRCP,PRCP,PRCP,Precipitation,Value of Precipitation,atmosphere_water__precipitation_leq_volume_flux,m/day,,,,
pihm_RH,RH,RH,Relative Humidity,Value of relative humidity,atmosphere_air_water~vapor__relative_saturation,percentage / 100,,,,
pihm_RL,RL,RL,Roughness length,surface roughness length scale for wind,atmosphere_bottom_air_flow__log-law_roughness_length,m,,,,
pihm_NER,,Ner Radiaiton,Ner Radiaiton,Value of net radiation,land_surface_radiation~net~total__energy_flux,MJ/m2/day,,,,
pihm_SS,SS,SS,Source/Sink,Value of Source/Sink,water~incoming-and-outgoing__volume_flow_rate,m3/day,,,,
pihm_Time,Time,Time,Time,Time,,day,,,,
pihm_TRMP,TRMP,TRMP,Temperature,Value of Temperature,land_surface_air__temperature,C,,,,
pihm_VP,VP,VP,Vapor  pressure,Value of vapor press,atmosphere_bottom_air_water~vapor__partial_pressure,Pa,,,,
pihm_WINF,WINF,WINF,wind speed,Value of wind speed,land_surface_wind__speed,m/day,,,,
,,,,,,,,,,
flooding_surfv,flooding,,flooding,,land_surface_water_surface__height_flood_index,,,,,
pihm_gw,Groundwater head,,Groundwater head,groundwater__head,groundwater__head,m,,,,
pihm_infil,infiltration rate,,infiltration rate,infiltration rate,soil_surface_water__infiltration_volume_flux,m/d,,,,
pihm_snowV,Snow accumulation,,Snow accumulation,Snow accumulation,land_surface_snow__time_integral_of_accumulation_volume_flux,m,,,,
pihm_surfV,Surface Water,,Surface Water,Surface Water,land_surface_water__depth,m,,,,
pihm_unsatV,Soil Moisture,,Soil Moisture,Soil Moisture,soil_water__volume-per-area_concentration,m,,,,
pihm_et0V,evaporation from canopy,,evaporation from canopy,evaporation from canopy,land_vegetation_canopy_water__evaporation_volume_flux,m/d,,,,
pihm_transpiration,transpiration,,transpiration,transpiration,land_vegetation_canopy_water__transpiration_volume_flux,m/d,,,,
pihm_et2v,evaporation from ground surface,,evaporation from ground surface,evaporation from ground surface,land_surface_water__evaporation_volume_flux,m/d,,,,
pihm_stagev,river stage,,river stage,river stage,channel~river_water__stage_height,m,,,,
pihm_rbedv,river bed storage,,river bed storage,river bed storage,channel~river_bed_water__volume-per-area_storage_capacity,m,,,,
pihm_rivFlx0v,lateral influs to the stream reach,,lateral influs to the stream reach,lateral influs to the stream reach,channel~stream_reach_water~incoming__lateral_volume_flux,m/d,,,,
pihm_rivFlx1v,Lateral outflow from stream reach,,Lateral outflow from stream reach,Lateral outflow from stream reach,channel~stream_reach_water~outgoing__lateral_volume_flux,m/d,,,,
pihm_rivFlx2v,Surface flow to stream reach from left terrain,,Surface flow to stream reach from left terrain,Surface flow to stream reach from left terrain,land_surface_terrain~left_channel~stream_reach_water__volume_flux,m/d,,,,
pihm_rivFlx3v,surface flow frow to stream reach from right terrain,,surface flow frow to stream reach from right terrain,surface flow frow to stream reach from right terrain,land_surface_terrain~right_channel~stream_reach_water__volume_flux,m/d,,,,
pihm_rivFlx4v,Baseflow to stream reach from aquifer on the left,,Baseflow to stream reach from aquifer on the left,Baseflow to stream reach from aquifer on the left,aquifer~left_channel~stream_reach_water__baseflow_volume_flux,m/d,,,,
pihm_rivFlx5v,baseflow to stream reach from aquifer on the right,,baseflow to stream reach from aquifer on the right,baseflow to stream reach from aquifer on the right,aquifer~right_channel~stream_reach_water__baseflow_volume_flux,m/d,,,,
pihm_rivFlx6v,leakage between stream reach and river bed,,leakage between stream reach and river bed,leakage between stream reach and river bed,channel~river_bed_channel~stream_reach_water__leakage_volume_flux,m/d,,,,
pihm_rivFlx7v,subsurface flow to the river bed from left aquifer,,subsurface flow to the river bed from left aquifer,subsurface flow to the river bed from left aquifer,land_subsurface_aquifer~left_channel~river_bed_water__volume_flux,m/d,,,,
pihm_rivFlx8v,subsurface flow to the river bed from right aquifer,,subsurface flow to the river bed from right aquifer,subsurface flow to the river bed from right aquifer,land_subsurface_aquifer~right_channel~river_bed_water__volume_flux,m/d,,,,
pihm_rivFlx9v,lateral outflux to the bed beneath river,,lateral outflux to the bed beneath river,lateral outflux to the bed beneath river,channel~river_bed_water~outgoing__lateral_volume_flux,m/d,,,,
pihm_rivFlx10v,lateral influx to the bed beneath river,,lateral influx to the bed beneath river,lateral influx to the bed beneath river,channel~river_bed_water~incoming__lateral_volume_flux,m/d,,,,
pihm_isv,Interception storage,,Interception storage,Interception storage,soil_water__volume-per-area_interception_storage_capacity,m,,,,
,,,,,,,,,,
pihm_Albedo,Albedo,Albedo,Albedo,Albedo,land_surface__albedo,,,,,
pihm_LAImax,LAImax,LAImax,Maximum Leaf Area Index,Maximum Leaf Area Index,land_vegetation__annual_time_max_of_leaf-area_index,m2/m2,,,,
pihm_Rmin,Rmin,Rmin,Minimum Stomatal Resistance,Minimum Stomatal Resistance,land_vegetation__time_min_of_stomatal_resistance,day/m,,,,
pihm_Rs_ref,Rs_ref,Rs_ref,Reference Stomatal Resistance,Reference Stomatal Resistance,land_vegetation__reference_stomatal_resistance,day/m,,,,
pihm_RzD,RzD,RzD,Root Zone Depth,Root Zone Depth,soil_root-zone__thickness,m,,,,
