full_name,variable_id,variable_label,object_cat,object_id,object_label,object_pref,quantity_id,quantity_label
atmosphere_bottom_air_flow__x_component_of_velocity,(atmosphere_bottom)@context~in_(air_flowing)__x_component_of_velocity,atmosphere_bottom_air_flow__x_component_of_velocity,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,x_component_of_velocity,x_component_of_velocity
atmosphere_bottom_air_flow__y_component_of_velocity,(atmosphere_bottom)@context~in_(air_flowing)__y_component_of_velocity,atmosphere_bottom_air_flow__y_component_of_velocity,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,y_component_of_velocity,y_component_of_velocity
atmosphere_bottom_air_flow__z_component_of_velocity,(atmosphere_bottom)@context~in_(air_flowing)__z_component_of_velocity,atmosphere_bottom_air_flow__z_component_of_velocity,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_flow,phenomenon,z_component_of_velocity,z_component_of_velocity
atmosphere_bottom_air_flow_buildings__log-law_roughness_length,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_buildings@role~exchange)__log-law_roughness_length,atmosphere_bottom_air_flow_buildings__log-law_roughness_length,,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_buildings@role~exchange),atmosphere_bottom_air_flow_buildings,phenomenon,log-law_roughness_length,log-law_roughness_length
atmosphere_bottom_air_flow_snowpack__log-law_roughness_length,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_snowpack@role~exchange)__log-law_roughness_length,atmosphere_bottom_air_flow_snowpack__log-law_roughness_length,,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_snowpack@role~exchange),atmosphere_bottom_air_flow_snowpack,phenomenon,log-law_roughness_length,log-law_roughness_length
atmosphere_bottom_air_flow_terrain__log-law_roughness_length,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_terrain@role~exchange)__log-law_roughness_length,atmosphere_bottom_air_flow_terrain__log-law_roughness_length,,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_terrain@role~exchange),atmosphere_bottom_air_flow_terrain,phenomenon,log-law_roughness_length,log-law_roughness_length
atmosphere_bottom_air_flow_vegetation__log-law_roughness_length,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_vegetation@role~exchange)__log-law_roughness_length,atmosphere_bottom_air_flow_vegetation__log-law_roughness_length,,(atmosphere_bottom)@context~in_((air_flowing)@role~exchange_vegetation@role~exchange),atmosphere_bottom_air_flow_vegetation,phenomenon,log-law_roughness_length,log-law_roughness_length
atmosphere_bottom_air_heat_flow__log-law_roughness_length,(atmosphere_bottom)@context~in_(air_flowing)__log-law_heat_roughness_length,atmosphere_bottom_air_heat_flow__log-law_heat_roughness_length,,(atmosphere_bottom)@context~in_(air_flowing),atmosphere_bottom_air_heat_flow,phenomenon,log-law_heat_roughness_length,log-law_heat_roughness_length
atmosphere_bottom_air_heat~advection__energy_flux,(atmosphere_bottom)@context~in_(air_advection)__advection_heat_energy_flux,atmosphere_bottom_air__advection_heat_energy_flux,,(atmosphere_bottom)@context~in_(air_advection),atmosphere_bottom_air,phenomenon,advection_heat_energy_flux,advection_heat_energy_flux
atmosphere_bottom_air_heat~convection__energy_flux,(atmosphere_bottom)@context~in_(air_convection)__convection_heat_energy_flux,atmosphere_bottom_air__convection_heat_energy_flux,,(atmosphere_bottom)@context~in_(air_convection),atmosphere_bottom_air,phenomenon,convection_heat_energy_flux,convection_heat_energy_flux
atmosphere_bottom_air_heat~diffusion__energy_flux,(atmosphere_bottom)@context~in_(air_diffusion)__diffusion_heat_energy_flux,atmosphere_bottom_air__diffusion_heat_energy_flux,,(atmosphere_bottom)@context~in_(air_diffusion),atmosphere_bottom_air,phenomenon,diffusion_heat_energy_flux,diffusion_heat_energy_flux
atmosphere_bottom_air_land_heat~incoming~latent__energy_flux,(atmosphere_bottom)@context~in_(air@role~source_land@role~sink)__incoming_latent_heat_energy_flux,atmosphere_bottom_air_land__incoming_latent_heat_energy_flux,,(atmosphere_bottom)@context~in_(air@role~source_land@role~sink),atmosphere_bottom_air_land,phenomenon,incoming_latent_heat_energy_flux,incoming_latent_heat_energy_flux
atmosphere_bottom_air_land_heat~incoming~sensible__energy_flux,(atmosphere_bottom)@context~in_(air@role~source_land@role~sink)__incoming_sensible_heat_energy_flux,atmosphere_bottom_air_land__incoming_sensible_heat_energy_flux,,(atmosphere_bottom)@context~in_(air@role~source_land@role~sink),atmosphere_bottom_air_land,phenomenon,incoming_sensible_heat_energy_flux,incoming_sensible_heat_energy_flux
atmosphere_bottom_air_land_heat~net~latent__energy_flux,(atmosphere_bottom)@context~in_(air@role~exchange_land@role~exchange)__latent_heat_energy_flux,atmosphere_bottom_air_land__latent_heat_energy_flux,,(atmosphere_bottom)@context~in_(air@role~exchange_land@role~exchange),atmosphere_bottom_air_land,phenomenon,latent_heat_energy_flux,latent_heat_energy_flux
atmosphere_bottom_air_land_heat~net~sensible__energy_flux,(atmosphere_bottom)@context~in_(air@role~exchange_land@role~exchange)__sensible_heat_energy_flux,atmosphere_bottom_air_land__sensible_heat_energy_flux,,(atmosphere_bottom)@context~in_(air@role~exchange_land@role~exchange),atmosphere_bottom_air_land,phenomenon,sensible_heat_energy_flux,sensible_heat_energy_flux
atmosphere_bottom_air_water~vapor__bulk_mass_aerodynamic_conductance,(atmosphere_bottom)@context~in_((air_flowing)@medium_water~vapor)__bulk_mass_aerodynamic_conductance,atmosphere_bottom_air_flowing_water~vapor__bulk_mass_aerodynamic_conductance,,(atmosphere_bottom)@context~in_((air_flowing)@medium_water~vapor),atmosphere_bottom_air_flowing_water~vapor,phenomenon,bulk_mass_aerodynamic_conductance,bulk_mass_aerodynamic_conductance
